,kernel,bsz,sq,sk,hq,hk,hm,hdim,sparsity,seed,dataname,time(ms)
0,attentionmask,8,131072,131072,32,32,1,128,60,68,srowsQ2A128K.npz,nan
1,math_attention,8,131072,131072,32,32,1,128,60,68,srowsQ2A128K.npz,nan
2,sparsemask,8,2048,2048,32,32,1,128,0,68,srowsQ2A2K.npz,6.867866516113281
3,sparsemask,8,4096,4096,32,32,1,128,0,68,srowsQ2A4K.npz,22.558422088623047
4,sparsemask,8,8192,8192,32,32,1,128,0,68,srowsQ2A8K.npz,82.43153333663942
5,sparsemask,8,16384,16384,32,32,1,128,0,68,srowsQ2A16K.npz,311.7849791049957
6,sparsemask,8,32768,32768,32,32,1,128,0,68,srowsQ2A32K.npz,1220.7464063167572
7,sparsemask,8,65536,65536,32,32,1,128,0,68,srowsQ2A64K.npz,4846.317561864852
8,sparsemask,8,131072,131072,32,32,1,128,0,68,srowsQ2A128K.npz,nan
9,sparsemask,8,2048,2048,32,32,1,128,10,68,srowsQ2A2K.npz,6.624152660369873
10,sparsemask,8,4096,4096,32,32,1,128,10,68,srowsQ2A4K.npz,21.72243595123291
11,sparsemask,8,8192,8192,32,32,1,128,10,68,srowsQ2A8K.npz,76.39785289764404
12,sparsemask,8,16384,16384,32,32,1,128,10,68,srowsQ2A16K.npz,283.9991283416748
13,sparsemask,8,32768,32768,32,32,1,128,10,68,srowsQ2A32K.npz,1071.7005920410156
14,sparsemask,8,65536,65536,32,32,1,128,10,68,srowsQ2A64K.npz,4322.624020576477
15,sparsemask,8,131072,131072,32,32,1,128,10,68,srowsQ2A128K.npz,nan
16,sparsemask,8,2048,2048,32,32,1,128,20,68,srowsQ2A2K.npz,6.2496137619018555
17,sparsemask,8,4096,4096,32,32,1,128,20,68,srowsQ2A4K.npz,19.604597091674805
18,sparsemask,8,8192,8192,32,32,1,128,20,68,srowsQ2A8K.npz,66.4476203918457
19,sparsemask,8,16384,16384,32,32,1,128,20,68,srowsQ2A16K.npz,253.19910764694214
20,sparsemask,8,32768,32768,32,32,1,128,20,68,srowsQ2A32K.npz,1004.2219710350038
21,sparsemask,8,65536,65536,32,32,1,128,20,68,srowsQ2A64K.npz,3802.970991134644
22,sparsemask,8,131072,131072,32,32,1,128,20,68,srowsQ2A128K.npz,nan
23,sparsemask,8,2048,2048,32,32,1,128,30,68,srowsQ2A2K.npz,5.497598648071289
24,sparsemask,8,131072,131072,32,32,1,128,40,68,srowsQ6A128K.npz,nan
25,sparsemask,8,2048,2048,32,32,1,128,50,68,srowsQ6A2K.npz,4.6616530418396
26,sparsemask,8,4096,4096,32,32,1,128,50,68,srowsQ6A4K.npz,13.754587968190513
27,sparsemask,8,8192,8192,32,32,1,128,50,68,srowsQ6A8K.npz,44.9442834854126
28,sparsemask,8,16384,16384,32,32,1,128,50,68,srowsQ6A16K.npz,154.47813987731934
29,sparsemask,8,32768,32768,32,32,1,128,50,68,srowsQ6A32K.npz,575.1575295130413
30,sparsemask,8,65536,65536,32,32,1,128,50,68,srowsQ6A64K.npz,2211.1280155181885
31,sparsemask,8,131072,131072,32,32,1,128,50,68,srowsQ6A128K.npz,nan
32,sparsemask,8,2048,2048,32,32,1,128,60,68,srowsQ6A2K.npz,4.309108853340149
33,sparsemask,8,4096,4096,32,32,1,128,60,68,srowsQ6A4K.npz,12.658642133076984
34,sparsemask,8,8192,8192,32,32,1,128,60,68,srowsQ6A8K.npz,37.62437661488851
35,sparsemask,8,16384,16384,32,32,1,128,60,68,srowsQ6A16K.npz,129.86448526382446
36,sparsemask,8,32768,32768,32,32,1,128,60,68,srowsQ6A32K.npz,458.09019684791565
37,sparsemask,8,65536,65536,32,32,1,128,60,68,srowsQ6A64K.npz,1741.1131167411804
38,sparsemask,8,131072,131072,32,32,1,128,60,68,srowsQ6A128K.npz,nan
39,sparsemask,8,2048,2048,32,32,1,128,70,68,srowsQ6A2K.npz,3.8458099365234375
40,sparsemask,8,8192,8192,32,32,1,128,70,68,srowsQ6A8K.npz,29.745199945237903
41,sparsemask,8,16384,16384,32,32,1,128,70,68,srowsQ6A16K.npz,96.2704713003976
42,sparsemask,8,32768,32768,32,32,1,128,70,68,srowsQ6A32K.npz,344.0793037414551
43,sparsemask,8,65536,65536,32,32,1,128,70,68,srowsQ6A64K.npz,1272.0068764686584
44,sparsemask,8,131072,131072,32,32,1,128,70,68,srowsQ6A128K.npz,nan
45,sparsemask,8,8192,8192,32,32,1,128,80,68,srowsQ6A8K.npz,26.044645309448242
46,sparsemask,8,16384,16384,32,32,1,128,80,68,srowsQ6A16K.npz,67.3125879581158
47,sparsemask,8,32768,32768,32,32,1,128,80,68,srowsQ6A32K.npz,242.38863093512398
48,sparsemask,8,65536,65536,32,32,1,128,80,68,srowsQ6A64K.npz,872.1587495009104
49,sparsemask,8,131072,131072,32,32,1,128,80,68,srowsQ6A128K.npz,nan
50,sparsemask,8,16384,16384,32,32,1,128,90,68,srowsQ6A16K.npz,51.187047958374016
51,sparsemask,8,32768,32768,32,32,1,128,90,68,srowsQ6A32K.npz,175.32896041870117
52,sparsemask,8,65536,65536,32,32,1,128,90,68,srowsQ6A64K.npz,590.6882810592651
53,sparsemask,8,131072,131072,32,32,1,128,90,68,srowsQ6A128K.npz,nan
54,sparsemask,8,8192,8192,32,32,1,128,80,68,srowsQ1A8K.npz,23.0528736114502
55,sparsemask,8,16384,16384,32,32,1,128,80,68,srowsQ1A16K.npz,72.485488653183
56,sparsemask,8,32768,32768,32,32,1,128,80,68,srowsQ1A32K.npz,248.42780510584515
57,sparsemask,8,65536,65536,32,32,1,128,80,68,srowsQ1A64K.npz,903.1380850928169
58,sparsemask,8,131072,131072,32,32,1,128,80,68,srowsQ1A128K.npz,nan
59,sparsemask,8,2048,2048,32,32,1,128,90,68,srowsQ1A2K.npz,3.043546676635742
60,attentionmask,8,2048,2048,32,32,1,128,60,68,srowsQ2A2K.npz,16.843067804972332
61,math_attention,8,2048,2048,32,32,1,128,60,68,srowsQ2A2K.npz,30.284395217895508
62,attentionmask,8,4096,4096,32,32,1,128,60,68,srowsQ2A4K.npz,64.4408836364746
63,math_attention,8,4096,4096,32,32,1,128,60,68,srowsQ2A4K.npz,120.7707471847534
64,attentionmask,8,8192,8192,32,32,1,128,60,68,srowsQ2A8K.npz,246.78312301635745
65,math_attention,8,8192,8192,32,32,1,128,60,68,srowsQ2A8K.npz,nan
66,attentionmask,8,16384,16384,32,32,1,128,60,68,srowsQ2A16K.npz,973.3087539672852
67,math_attention,8,16384,16384,32,32,1,128,60,68,srowsQ2A16K.npz,nan
68,attentionmask,8,32768,32768,32,32,1,128,60,68,srowsQ2A32K.npz,3878.6203212738037
69,math_attention,8,32768,32768,32,32,1,128,60,68,srowsQ2A32K.npz,nan
70,attentionmask,8,65536,65536,32,32,1,128,60,68,srowsQ2A64K.npz,nan
71,math_attention,8,65536,65536,32,32,1,128,60,68,srowsQ2A64K.npz,nan
72,sparsemask,8,16384,16384,32,32,1,128,10,68,srowsQ6A16K.npz,270.90186834335327
